all: yëkïvarë
sand: kwïcë
sand: vəcə
say: bul
say: bulï
say: bulï
say: mbwl
say: mbwlə
say: wë-kuyë
scratch: gïrï
scratch: gïrï
scratch: gïrïkï
scratch: gïrïkï
scratch: ŋgərə
scratch: ŋgərəkə
see: ɣə
see: ɣə
see: vï
see: vï
see: vï
sharp: nəmby
sharp: nəmby
sharp: nïbi
sharp: nïbi
sharp: nïbyë
sharp: nïbyë
short: gïrïk
short: mwëkng
short: mwʌkŋ
short: ŋgərək
sister: ɲəŋgʌ
sister: nyïgë
sister: wakəcə
sister: wakïcï
sit: rʌ
sit: rʌ
sit: rë
sit: rë
sit: rë
skin: bagë
skin: bakë
skin: bunggë
skin: mbagə
skin: mbakʌ
sleep: cə kea
sleep: cə kwa
sleep: cï (kwa)
sleep: cï (kwa)
small: cəɣəmbək
small: cəpʌ
small: cïpë
small: cïvïbïk
smell: yamë
smell: yamë
smell: yamë
smoke: ya-kngi
smoke: yakŋy
smoke: yakyʌ
smoke: ya-kyë
snake: kabway
snake: kabway
snake: kabwëy
snake: kabwëy
snake: kambway
snake: kambwʌy
spit: cïpmi
spit: cïpmi
spit: cïpmyë
spit: cïpmyë
spit: yarə kərə
spit: yar yʌ
split: pïgï
split: vi
stand: bwë
stand: kurë
stand: tə
stand: tə
stand: tï
stand: tï
stand: tï
star: kun
star: kun
star: kun
star: kwn
star: kwn
stone: ba
stone: ba
stone: ba
stone: mba
stone: mba
stone: pa
sun: ɲa
sun: ɲa
sun: nya
sun: nya
sun: nya
swim: ɣərə
swim: kərʌw y
swim: kïrëw yi
swim: vïrï
tail: gïni
tail: gïnyë
tail: ŋgəny
tail: ŋgənyʌ
that: wën
that: wëni
that: wëni
that: wʌn
that: wʌny
they: di
they: di
they: dyë
they: dyë
they: ndy
they: ndyʌ
they two: bïrë
they two: bïrë
they two: bïrï
they two: bïrï
they two: mbərə
they two: mbərə
thigh: da
thigh: da
thigh: dawʌ
thigh: dawë
this: mən
this: mən
this: mïn
this: mïn
thou: ɲənə
thou: mənə
thou: mənə
thou: mï-nï/ny-ïnï
thou: mï-nï/(n)y-nï
thou: mï-nï/y-nï
thou: ŋgwrə
thou: ŋgwrə
thou: ynə
three: mugulikng
three: mwŋgwlykŋ
three: nəŋgwlək
three: nïgulïk
throat: kwʌbwy yambə
throat: kwëbwi yabï
throat: nək
throat: nïk
tie: gi
tie: gi
tie: ŋgy
tie: ŋgy
tongue: təkalək
tongue: təkŋalə
tongue: tïkalïk
tongue: tïkngalï
tooth: nəmby
tooth: nəmbyʌ
tooth: nïbi
tooth: nïbyë
tree: mi
tree: my
tree: myʌ
tree: myë
tree: my mbapʌ
tree: my mbavʌ
tree: nwa my
tree: nwa myʌ
turn: pəkwpm
turn: pïkupm
turn: wrakwʌ
turn: wrakwë
two: ɣəryk
two: ɣərykŋ
two: vïrik
two: vïrik
two: vïrikng
two: vïrikng
vomit: ŋgwyʌ
vomit: ŋgwyʌ
walk: wʌcʌ y
walk: y
walk: y
walk: y
walk: y
walk: yi
walk: yi
walk: yi
walk: yi
walk: yi
warm: aik
warm: ayk
warm: kwinya
wash: yakwʌ
wash: yakwak
wash: yakwak
wash: yakwë
water: gu
water: gu
water: ku
water: ŋgw
water: ŋgw
weep: gëra
weep: gëra
weep: ŋgəra
weep: ŋgəra
we: nanə
we: nanə
we: na-nï
we: na-nï
we: na-nï
we two (incl.): nʌnə
we two (incl.): nonə
we two: nënï
we two: nënï
we two: nënï
what: gapwë
what: gapwë
what: ŋgapwʌ
what: yëkï
what: yëkï
what: yʌkə
when: yʌnəwʌ cʌy
when: ynʌ yʌ
where: yënïwë-nï
where: ynë kakwë
where: yʌnəwʌ-nə
where: ynʌ kakwʌ
white: bwë
white: mbwʌ
white: walwap
white: wamwʌ
white: wamwë
white: wamwë
who: kənʌ
who: kënë
who: kënë
who: kïnë
who: kïnë
who: kʌnʌ
wind: murï
wind: muru
wind: mwrə
wind: mwrw
wing: yk
wing: yk
wing: ykng
wing: ykŋ
with: lï
with: lï
with: wë
with: wë
woman: ta
woman: ta
woman: takwʌ
woman: takwë
wood: myʌ ŋgərək
you: gu-rï
you: gu-rï
you two: bïrï
you two: bïrï
you two: mbərə
you two: mbərə
