and: baru
tooth: eletinu
tooth: eretinu(-mo)
tooth: eretinu(mo)
tooth: naumer
tooth: na-umér
tooth: neretine
tooth: n-eretine
tree: etamei
tree: kakenge
tree: kakeŋe
tree: keminia
tree: kemino
tree: kemino
tree: kemino
tree: kemíno
two: oɟa
two: ogi
two: ogí
two: ogia
two: oja
vagina: arie
vagina: árie
walk: natoa-
walk: natoa-
walk: neta-nela
walk: netoa-
walk: netoa-
walk: otoalabe
walk: ototae
warm: girini
warm: giríni
warm: udelea
warm: uderae
warm: udere
warm: udere
water: tai
water: tai
water: taia
water: taye
water: tayé(g)
weep: nalabe
weep: naleya
weep: nara-
weep: nara-
weep: raː-
weep: raa-
we (excl.): nidi
we (excl.): nindi
we: idi
we: i-di
we (incl.): iga
we (incl.): i-ga
we (incl.): i-ga
we (incl.): yengga
we (incl.): yeŋga
we: indigo
we: in-digo
we: ni-di
we: ni-ga
we: nín-di
wet: tiririe
wet: tirírie
what: igauma
what: igauma
what: igaumo
what: nuŋgay
what: nunggáy
where: gadi
where: gádi
white: kabia
white: kabia
white: kabia
white: papago
white: pápago
who: imanala
who: imanara
who: imanara
who: nimare
who: nimáre
wind: aweneni
wind: aweneni
wind: loboloboya
wind: medide
wind: medíde
wing: metaramo
wing: metarámo
woman: kedeno
woman: kedéno
woman: lawao-mo
woman: rawao
woman: rawao
wood: kerikomo
wood: keríkomo
yellow: kuni-kunia
yellow: kuni-kuniela
you: e-di(-ebiora)
you: e-di-ebora
you: ei-nga-ebiola
you: umogo
you: yáygo
you: yé-ndi
