live: wali
live: wali
live: wariːd
long: heki
long: hëki
long: hëki
long: kogo
long: koko
long: koko
long: koɣo
long: teki
louse: mi
louse: mi
louse: mi
louse: mi
louse: mi
man: do
man: do
man: do
man: do
man: doh (torre)
man: domiya
man: do ~ ro
man: kelufa
man: oto-oto
man: ro
man: to
man: to
many: bumbum
many: halëm
many: hëlëm
many: hëlëm
many: hëlëm
many: heleng
many: neikai
many: sedem (serem)
many: tërëng
many: tərəŋ ~ hələm
meat: melem
meat: u
moon: ogho
moon: oko
moon: oko
moon: oko
moon: oko ~ oɣo
moon: oqo
moon: ʌrʌ
morning: dene
morning: dene
morning: dene
morning: dene
morning: tene
mosquito: hengkäntu
mosquito: hengkendu
mosquito: hengkendu
mosquito: sengkengtu
mother: ana
mother: ana
mother: anaː
mother: menake
mother: menakë
mother: nake
mountain: homungka
mountain: mogo
mountain: moko
mountain: toro
mountain: uli
mountain: uri
mountain: xomungge
mouth: euwa
mouth: euwa
mouth: euwa
mouth: ëuwa
mouth: ëwgwa
mouth: heuyaː
mouth: \ogwa
name: do
name: do
name: do
name: do
name: do
name: hodo
name: naro
name: rahine
name: to
name: toto
name: uno
name: waro
narrow: kiki
narrow: kiki
navel: pulende
navel: purinde
near: nobe
near: nobe
near: nobe
near: nobe
neck: hodo(no)
neck: hodo(no)
neck: koto
neck: qampi
neck: sorrʌ
neck: toto(no)
new: hogholo
new: hokolo
new: hoɣolo
new: hoqolo
new: manëmfana
new: (m)eme
new: mëxolo
new: neme
new: neme
new: nemë
new: nemë
new: nëmë
new: tokoro
new: xoxolo
night: deniai
night: deniai
night: dëniai
night: dəniai ~ reniai
night: dindai
night: diniai
night: gindai
night: miniai
night: reniai
night: reniai
night: teniai
night: teniai
nose: yeypulu
nose: yeypulu
nose: yobei
nose: yoi
nose: yoi
nose: yoi
nose: yoi
nose: yoi pulu
nose: yoi pulu
nose: yoi pulu
nose: yon
not: nene
not: u
old: ako
old: do-patua
old: do-rele
old: hëna
old: hëna
old: hëna
old: malë
old: nale
old: patua
old: tëna
old: torele
one: ëmbai
one: ëmbai
one: ëmbai
one: əmbai
one: imbai
one: mbai
person: do-miä
person: do miye
person: do miye
person: do (miye)
person: rotere
pull: rawei-
pull: yoboi-
pull: yoboi-
push: hurëi-
push: hurəi-
rain: ya
rain: ya
rain: ya
rain: ya(o)
rat: we
rat: we
rat: we
rat: we
red: hasai
red: kasai
red: kasai
red: miri
red: nime-nime
red: nime(-nime)
red: nimë-nimë
ripe: nime
ripe: nimë
ripe: nimë
ripe: nimə
ripe: nimë(ng)
river: wi
river: wi
river: wi
river: wi
river: wi
road: mibu
road: nibi
road: nibi
road: nibi
road: nibi
road: nipi
road: nipi
root: kambu
root: kambu
root: kambu
root: oro
root: qampu
rope: ha
rope: ha
rope: ta
rope: ta ~ ha
round: koba-koba
round: koboughi
round: kobouɣi
round: kobu-kobu
round: kopu-kopu
salt: sɛ
sand: ifaw
sand: ke(i)si
sand: këni
sand: kiho
sand: saba
say: arega
say: ëlë-i(-ko)
say: ëlëilko
say: ëlëilko
say: ëlële
say: ələle
say: ërëiko
scratch: ke-
scratch: ke-
sea: nau
sea: nau
sea: nau pu
sea: nau pu
sea: pue nolo
sea: umoxo
seed: haka
seed: (haka) ko
seed: ko
seed: nu
seed: (o-)haka
seed: (o-)taka
see: ëdë-
see: ëdë-
see: ədə- ~ ərəi-
see: ëdë-i
see: ëdë-i
see: ërëi-
see: ëtë-
sew: haisai
sharp: yomo
sharp: yomo
short: fofo
short: fofo
short: fofo
short: fokëm
short: fokëm
short: fokëng
short: fonem
short: fonem
short: foqëm
shoulder: baqa
shoulder: nadë
shoulder: paxa
shoulder: paxa
shoulder: yaːrʌ
sing: bɛ
sing: (be) moka-
sing: koiko
sing: koiko
sing: koiko
sister: ara
sister: axa
sister: emäm
sister: emɛm
sister: moyna
sister: ugwaxa
sit: dumbo
sit: nuë-
sit: nuə-
sit: nuieba
sit: numbo
sit: nuweibo
skin: da
skin: da
skin: elan
skin: ëram
skin: erand
skin: erang
skin: ta
skin: ura
skin: ura
skin: wa
skin: wa
skin: wa
skin: waː
skin: wlam
sky: kumbuma
sky: yaku
sky: yaku(-puma)
sky: yaqu
sleep: ijoku
sleep: ijonggu
sleep: iɟoku
sleep: ke (tonore)
sleep: neye
sleep: yugu
small: këding
small: kendim
small: mefa
small: mele(a)
small: mere
small: mire
small: qënting
smell: kələm
smoke: i-ji-qonim
smoke: (i-)jo-konim
smoke: i-ng
smoke: i-ngko
snake: ahakai
snake: dami
snake: ëhaqai
snake: maːt
snake: sami
snake: tami
snake: ware
son: qëlu
son: tʌ
sour: hang-gëlë
sour: manim
sour: manim
sour: manim(-gëlë)
spit: ëki
spit: ëki-bu
spit: ëuw-ëki
spit: kenaː
spit: ki
spit: ki
spit: warofo
stab: nëi-
stand: amanum
stand: anyu
stand: anyu
stand: anyu
stand: auva
star: dalo
star: findelau
star: ma(n)saka
star: talo
stone: duka
stone: duka
stone: duka
stone: duka ~ ruɣa
stone: duma
stone: duqa
stone: rugha
stone: tuga
sun: hu
sun: hu
sun: hu
sun: hu
sun: su
sun: tu
sweet: yu
sweet: yu
sweet: yu (xei)
swim: hiko-i
swim: hikoi(-malere)
swim: hiko-ma
swim: sigoye
swim: sikoi(-marete)
tail: älëm
tail: dəma ~ ramə
tail: deme
tail: deme
tail: dëmë
tail: dëmë
tail: de(u)me
tail: ramë
tail: temë
take: dëwë-i
that: bele
that: dike
that: dikë
that: nabe
that: ndi
that: ndi
that: ndi ~ ri(ki)
that: nie
that: nie
that: pele
they: meyadomiya
they: naiyoye
they: ndiro
they: nendeo
they: neyä
they: nəyä ~ neyä
they: neye
they: neye
they two: (d)ikë-be
they two: nande-be
they two: nëye-be
they two: nëye-be
they two: nëye-be
they: weya embai
thigh: bede
thigh: bete
thigh: pede
thigh: pɛde
thin: dara
thin: hele-hele
think: bënë
think: merenibaː demabʌ
this: daqë/bäqë
this: (e)nda
this: fexe
this: nanie
this: nda
this: nda ~ ra(kə]
this: neya
thorn: isa
thou: mə(yə)
thou: mye
thou: we(yä)
thou: wëyë
thou: wëyë
thou: wë(yë)
thou: wə(yə)
three: name
three: name
three: name
three: name
three: name
throat: mariŋgʌ
throw: qä-i-nyë-hi
thunder: ku
thunder: ku
thunder: ku
today: dakë-ya
today: daqë-ya
today: mana-ya
today: mana-ya
tomorrow: wahena
tomorrow: wahena
tomorrow: wahena
tomorrow: wapena
tongue: faeu
tongue: fäu
tongue: fäu
tongue: feau
tongue: feu
tongue: feu
tongue: feu
tongue: feːu
tongue: peu
tongue: vau
tooth: hëra
tooth: həra
tooth: icëha
tooth: itëha
tooth: itëha
tooth: itəha
tooth: teta
tooth: teta
tooth: tëta
tooth: xëra
tooth: ǯɛ
tooth: ǯɛ
tree: no
tree: no
tree: no
tree: no
tree: no
tree: no
tree: o
tree: o
tree: \oha
tree: ono
tree: (\)ono
tree: si
two: be
two: be
two: be
two: be
two: be ~ pe
two: pe
two: pe
unripe: kolu
unripe: qolu
vagina: këngma
vagina: kewah
vagina: qëma
vomit: mikä
walk: dere
walk: dërë!
walk: ema
walk: ema-lere
walk: emang
walk: ema-rete
walk: enyen
walk: ëyë
walk: ëyë
walk: ëyë!
walk: ëyë!
walk: otoye
wallaby: emäho
wallaby: eme(ho)
wallaby: eme(ho)
wallaby: eme(ho)
wallaby: fëreli
wallaby: hamoi
warm: do-isam
warm: namue
warm: naum
warm: naum
warm: naumë
water: bu
water: bu
