one: iri
one: iri
one: iri
one: iri
one: iri
one: iri
one: iri
one: iri
one: (i)ri
one: ïri
one: ri
other: aya
person: wuchi
person: wuči
person: wuči
person: wuti
person: wuti
person: wuti
person: wuti
rain: wiye
rain: wiye
rain: wiye
rat: ifi
rat: ifikyi
rat: (ï)mbirichi
rat: iφi
rat: iφikyi
rat: iφikyi
rat: ɨmbiriči
rat: mbiriči
rat: mbiriki
rat: mbirikyi
red: ambo
red: ʔamboy
red: amboye
red: amboye
red: amboye
red: amboye
red: ʔamboye
red: ʔamboye
red: ambo(ye)
right: ŋaɲe
right: ŋaɲe
right: ŋaɲe
right: ŋaɲe
right: nganye
right: nganye
right: nganye/twan
right: tan
right: tan
right: twan
right: twon
right: twon
ripe: ʔʊri
ripe: uri
road: maɲe
road: maɲe
road: maɲeriŋk
road: manye
road: m(an)yeringk
road: myeriŋk
road: ngïm
road: ŋɨm
road: ŋɨm
road: ŋɨm
rope: care
rope: care
rope: hare
rope: hare
rope: sare
rope: sare
rope: sare
rope: sare
rope: tambʌ
rope: tyare
rotten: cɨɣ
rotten: cɨɣ
rotten: chigi
rotten: čigi
rotten: nyu\o
rotten: sɨɣ
rotten: siɣ
rotten: sigh
rotten: t(y)igh
rotten: ɲuʔo
rub: nyangg g-ab
salt: ɣat
salt: ghat
sand: jhijhi
sand: jhijhi
sand: jhijhi
sand: ǯiǯi
sand: ǯiǯi
sand: ǯiǯi
sand: ǯiǯi
sand: ǯiǯi
sand: ǯiǯi
say: wand
scratch: gri
scratch: griʔ
scratch: griʔ
scratch: griʔ
scratch: gri0
scratch: kiraßi
see: noand
see: noand
see: nu\ond
see: nuʔond
see: nuʔond
see: nuʔond
see: nu(\)onjh
see: nu\on(jh)
see: nuʔonǯ
see: nuʔonǯ
see: nuwonǯ
short: bog
short: bog
short: bwgoi
short: bwog
short: bwog
short: bwog
short: bwogi
short: faiyi
short: fwaha\
short: φaiyi
short: φwahaʔ
sister: čeč
sister: čeč
sister: čeče
sister: chech(e)
sister: jhajhe
sister: jhejhe
sister: kumungge
sister: kumuŋgɛ
sister: ǯaǯe
