smoke: ŋuɹ̣u-ŋuɹ̣a-yiɟ
smoke: wuŋuban
smooth: muɲur
smooth: wabaːɹ̣u
smooth: waḷayida-
snake: maːr
snake: maːrɲ
son: nanigi
spit: l̪agaɹ̣
spit: yaːli-bu
split: ḷaḷ-bu
split: ḷaḷma-
split: ɹ̣urdi-
squeeze: ɟaŋgaɹ̣aga-
squeeze: d̪urma-
stand: -daŋa-
stand: l̪a-
star: baṇumbil
star: ḷaŋguralma
star: miyɹ̣i
star: miyiri
star: warai(?)gain
star: yiriwiḷa
stone: muduŋ
stone: ṇuga
stone: nugwa
stone: nugwa
straight: andur
straight: and̪urg
straight: banban
straight: l̪araːl̪a-
suck: -l̪aŋan-d̪ira-
suck: l̪ira-
suck: ŋawunbuṇɟaŋ
sun: aḷir
sun: aḷir
sweet: lagu
sweet: ḷagu
swell: wuḷbuḷwa-
swim: ŋama-
swim: -ŋamana
swim: waɲgala-
tail: ɹ̣abara
tail: -d̪anbaɹ̣ɟ
tail: rabara
take: amaɟa-
take: -damaɟa-
take: guguda-
take: ma-
take: -mi-
there: da-
there: yamala
there: yuwaː-
they: ma-gu-raː-
they: ma-gu-ru
they two: wu-gu-ṇaː-
they two: wu-gu-ṇi
they two: wu-gu-rŋaː-
they two: wu-gu-rŋi
they: wu-gu-raː-
they: wu-gu-ru
thick: agal̪aɹ̣gal̪arg
thigh: l̪arbiɟ
thigh: largbin
thigh: maŋgo
thin: ḍaːgararag
think: (ŋa)wiɟagaŋayi
think: yama-
thin: -maḍumbalala
thin: yarayara
thorn: l̪awal-
thou: nagaŋ
thou: nu-ga-wi
thou: nu-gu-raː-
thou: nu-gu-ru
three: wulaɲbaɟ
three: wulainbaiɟ
throat: aḷuag
throat: ɹ̣amaɟ
throat: yambiya
throw: baɹ̣awuda-
throw: -barga-
throw: gari-wadɟa-
throw: ŋaṇḍa-
throw: warga-
thunder: ŋururuwa-
thunder: wuŋuruwana
tie: ɹ̣adbid̪a-
tie: ɹ̣ad-bu
today: yimbaɟ
today: yimbaiɟ
tomorrow: agaɹ̣ay
tomorrow: agaṛai
tongue: laːn̪
tooth: ɹ̣aː
tooth: ɹaɟa
tooth: ṛa
tree: ɹ̣aŋag
tree: ṛaŋa
turn: liblibŋi-
turn: ŋa garini
turn: wagiwa-
two: -wulawa
two: wula-waː
unripe: ɹ̣amur
unripe: ḍigu
vagina: ɹ̣iːg
vagina: ni-d̪aɲ
vagina: nid̪amuŋ
vagina: rig (t)
vomit: ŋaɲɟi-
vomit: ŋanɟina
vomit: wargad
walk: bari
walk: l̪aɹ̣ug
walk: ɹ̣ulmurda-
walk: ɹ̣uma-
walk: ya(ː)-
walk: -yarba-
walk: -yari-
walk: -yari-
wallaby: ŋargu
wallaby: -ŋargu
warm: murmbula-
warm: (ŋa)mumbuli
wash: ŋaŋguyarbin
wash: -yarbi-
water: agugu
water: guːgu
water: lawalig
water: ŋaɟal
weep: -duga-
weep: l̪arbiɟiɟa-
weep: ɹ̣uː
weep: ɹ̣ugu-
we (excl.): nu-raː-
we (excl.): nu-ru
we (incl.): ŋa-gu-raː-
we (incl.): ŋa-gu-ru
wet: waḷaḷiɟ
we two (excl.): ni-ṇaː-
we two (excl.): ni-ṇi
we two (excl.): ni-rŋaː-
we two (excl.): ni-rŋi
we two (incl.): na-ga-wa
we two (incl.): ŋa-gu-ṇi
we two (incl.): ŋa-gu-rŋi
what: yaŋi
what: yaŋi?
when: l̪al-ŋaɹ̣gu
when: ŋalŋaṛugu?
where: a- ... -ga
where: aɟiga?
white: ŋal-ŋalŋalu-ɟ
white: ŋalŋalu
who: yaŋi
who: yaŋiɲu
wide: walbalg
wife: ŋaragulgu
wind: -l̪aŋuɲ-
wind: wudaŋun
wing: aṇa. waṇɟa
wing: waṇḍya
wipe: yinur-wu
woman: maṇuŋ
woman: maṇuŋ
woman: ŋalandurɟi
woman: ŋaramaniɲu
woman: wuɟbi
wood: ɹ̣aŋag
wood: ɹ̣aŋag
wood: ŋuṛa
wood: raŋag
woomera: aḷbug
woomera: mabargu
woomera: waṇḍag
yellow: araṇŋal
yellow: wirbululun
yellow: wud̪alag
yesterday: agalgi
yes: yoː
you two: nu-ga-ṇaː-
you two: nu-gu-ṇi
you two: nu-gurŋaː-
you two: nu-gu-rŋi
