they two: bula-n̪a
they two: bula-ŋani
they two: pula
they two: pulana
they two: pulanda
they two: pulandru
they two: pulaŋa
they two: pulaŋani
they two: pulaɹ̣u
they two: pulu
thigh: d̪apana
thigh: waṭa
think: baɹ̣u
think: ŋalka
think: ŋalka-
this: nani
this: niai
this: yuku
thou: ini
thou: ini
thou: ini
thou: wura
thou: wurandu
thou: yundru
thou: yundru
thou: yundu
thou: yuŋkani
thou: yuntu
thou: yura
thou: yura
thou: yura-n̪a
thou: yura-ŋani
thou: yura-ŋu
three: parkuwat̪u
throw: winbi
throw: yalka-
thunder: ciniwaɹ̣a
thunder: kiniwa
tie: gacu
today: bala
today: kani
tomorrow: pit̪awara
tomorrow: wik-ala
tomorrow: wikaḷa
tongue: d̪alaɲa
tongue: talaya
tooth: draya
tooth: draya
tooth: ṭia
tree: mak-ura
tree: nuku
tree: waka
two: barkulu
two: parkula
vagina: tati
vomit: mula
walk: gut̪i
walk: kuti-
walk: ŋani-
walk: yandi-
walk: yan̪t̪a
walk: yanta-
warm: wi
warm: wi
warm: yawura
wash: yuŋə
water: muʎu
water: ŋaka
water: ŋak-a
water: ŋap-a
weep: gaŋuri
weep: ilri
weep: kaŋuri-
we: ŋanandu
we: ŋandra
we: ŋandra
we: ŋandra
we: ŋandrana
we: ŋandra-n̪a
we: ŋandraŋani
we: ŋandra-ŋani
we: ŋandra-ŋu
we two (incl.): ŋala
we two (incl.): ŋala-n̪a
we two (incl.): ŋalanu
we two (incl.): ŋali
we two (incl.): ŋali
we two (incl.): ŋalindu
we two (incl.): ŋali-ŋu
what: mina
what: min̪a
what: ŋali
where: ŋala
where: ŋalaŋa
where: tara
white: gupa
white: kup-a
white: kup-a
who: waɹ̣a
who: waɹ̣ana
wife: nuba-laɲi
wife: nupat̪a
wife: waɹ̣ka
wife: wat̪uni
wind: gugu-d̪ari
wind: kuk-atari
wing: gaʎa
woman: tinamara
woman: waɹ̣ka
woman: walga
wood: makura
wood: mak-ura
wood: mak-ura
wood: mak-ura
wood: mak-uru
wood: wi
yellow: bilti
yellow: pilta
yesterday: nilad̪a
yesterday: yatari
you two: pulana
you two: yula
you two: yula
you two: yula-n̪a
you two: yula-ŋani
you two: yula-ŋu
you two: yuŋkani
