new: riat
new: riat
new: riat
new: wain
new: wain
new: wanin
new: wanin
new: wanine
new: wanine
new: wanine
new: wanine
new: wanine
new: wanyin
new: wanyin
night: mamane
night: mamane
night: nama
night: namane
nose: amantu
nose: amantum
nose: amtum
nose: atum
nose: atum
nose: atum
nose: atum
not: joena
not: joen(a)
old: a:nane-mie
old: paitune-pie\
old: waina
old: wanya
old: wanya
old: wanya
old: wanya
old: wanya
old: wisin
old: wisin
old: wusin
old: wusin
old: wusin
old: wusin
old: wusine
old: wusine
old: wusine
old: wusine
old: wusyine
old: wusyine
one: entabo
one: intabo
one: intabo
one: ntabo
one: ntabo
one: ntabo
one: ntabo
one: ntabo
one: ntabo
one: ntabo
one: ntaßo
one: ntavo
one: taßo
one: tavo
one: utabo
one: utabo
person: batan
person: batan
person: batan
person: batan
person: batan
person: batan
person: batan
person: batan(e)
person: nanawa
person: ßatan
person: ßatan
person: ßatan
person: vatan
person: vatan
person: vatan
person: vatane
play: baon
play: baon
play: baon
play: baon
play: baon
play: baon
play: baon
play: baon
play: baon
play: baon
play: papaki
play: papaki
push: ratuɟa
push: ratuja
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru
rain: maru(-je)
rat: kae
rat: kaimar
rat: kaimar
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kaimir
rat: kamo
rat: kamo
red: niɟa
red: niɟam
red: niɟam
red: niɟam
red: niɟam
red: nija
red: nijam
red: nijam
red: nijam
red: nijam
red: niyam
red: niyam
right: kove
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawit
ripe: mawita
ripe: mawita
road: anandi
road: nandoi
road: nandoi
road: nandoi
road: nandoi
road: unandi
road: unandoi
road: unandoi
road: unandoi
road: unani
road: unani
road: unani
road: unani
root: kaune
root: kaune
root: kawen
root: kawen
root: kawen
root: kawen
root: kawen
root: kawen
root: kawen
root: pif
root: pi:p
root: pi:p
root: piːp
root: piφ
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wai
rope: wati
rope: wati
round: kubakube
round: kubakub(w)e
sand: ayau
sand: babon
sand: bavone
sand: matanebon
sand: nayab
sand: nayab
sand: nayab
sand: nayab
sand: nayab
sand: nayaße
sand: nayave
sand: nibugane
sand: nibugane
sand: nibugane
sand: nuishe
sand: nusye
sand: nusye
sand: nusye
sand: ugai
sand: ugai
sand: ugai
sand: wavone
sand: wawone
say: ayao
say: m-are
say: raura
say: raura
sea: anea
sea: aneae
sea: aneae
sea: aneae
sea: aneae
sea: babata
sea: warave
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
seed: kami
see: ndai
see: ndai
see: rae
see: rae
see: raen
see: raen
see: raen
see: rae(n)
see: rain
see: rain
see: rato
see: rato
see: rato
see: rato
sharp: si.u
short: arapa
short: arapa
short: arapa
short: tumai
short: tumai
short: tumai
short: tumai
short: tumai
short: tumai
short: tumai
short: tumai
short: tumain
short: tumain
short: tumai(n)
shoulder: aibam
shoulder: aibam
shoulder: aibam
shoulder: aibiam
shoulder: aibiam
shoulder: aißam
shoulder: aivam
shoulder: aßam
shoulder: avam
shoulder: kumane
shoulder: kumane
shoulder: kumane
shoulder: kumane
shoulder: kumane
sing: -keɲa
sing: -ke(-nya)
sister: andoɟa
sister: andoiɟa
sister: andoija
sister: andoja
sister: anduɟa
sister: anduja
sister: anuiɟa
sister: anuiɟa
sister: anuija
sister: anuija
sister: faniandoi
sister: ɟiɟake
sister: jijake
sister: riɟata
sister: riɟata
sister: riɟata
sister: riatap
sister: riatap
sister: rijata
sister: rijata
sister: rijata
sister: riyat
sister: riyat
sister: φaniandoi
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: tuna
sit: -tuna
sit: -tuna
sit: tunu
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
skin: kea
sky: nam
sky: nam
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum
sky: naum(e)
sleep: nei
sleep: nei
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: niki
sleep: -niki
sleep: -niki
small: mamau
small: mamau
small: mamau
small: mamau
small: mamau
small: mamau
small: maumau
small: maumau
small: tuban
small: tuban
small: tuban
small: tuban
small: tubanet
small: tubanet
small: tuban(et)
smoke: kiɟau
