split: ḷak-bu-
stand: ɟa-
stand: -ɟaŋa-
stand: ŋeyʔ
star: ɟɛrmiḷmin
star: miɲgur
star: miŋur
stone: biṇ
stone: gubín
stone: gubíṇ
straight: ɟoṇgoloʔ
straight: ɟungulo
suck: -bun̪\
sun: ŋuwaɟi
sun: ŋuwaɟi
sun: waci
sweet: ḍaḍa
sweet: mudaḍa
swim: -ŋɔi-
swim: ŋuyŋuy-
tail: ɟiːgur
tail: ɟikur
take: ga-
take: -mɛ\mɛ\
take: woc-ma-
take: -wɔidmɛ-
that: gun-gunʔbiri ~ mun-gunʔbiri
that: gun- ~ mun-gunʔbiri-gunʔ
that: ṇu-gunʔbiri
that: ṇu-gunʔbiri-gunʔ
that: ɟu-gunʔbiri-gunʔ
there: goʔɟe
there: -gɔiyɛn
they: -bore
they: burgagabbul
they: burka
they: burkaṇiʔ-yiʔ
they two: burka-bira
they two: burkaṇiʔ-biraʔ-yiʔ
thigh: ɟarpic
thigh: guɟäɾgbiɟ
thin: baɹ̣arac
thin: -baraiɟ
think: (bak)men-gol-
think: -gabanar
think: miɲɟi-
this: gun-gaʔye(n) ~ mun-gaʔye(n)
this: gun-gaykunʔ ~ mun-gaykunʔ
this: ṇu-gaʔye ~ nu-gaʔyen
this: ɟu-gaʔye(n)
thou: ɲiɲɟaʔ
thou: -ŋgi
thou: ŋiɲɟaṇiʔ-yiʔ
thou: norgagabbul
thou: -ṇuŋgore
thou: ṇurka
thou: ṇurkaṇiʔ-yiʔ
three: gulbur
throat: gumaŋa
throat: maŋa
throw: -war\-
throw: warʔ-
thunder: maḷun
tie: ďerʔba-ga-
today: yiɲgon
today: yuŋgɔn
tomorrow: munduɲo
tomorrow: muṇuɲɟu
tongue: ɟaːlŋ
tongue: ɟaːḷŋ
tongue: ɟelŋ
tooth: giyar
tooth: giyark
tree: ḍaṛʔ
tree: gudar
turn: -du-
turn: -gɔbɛṛ\-
two: yabban
two: yapanʔ
vagina: -mugini
vomit: weɹ̣ʔ-
vomit: -wɛra
walk: ɹ̣abo-
walk: bol-ma-
walk: ŋiɲaraburabuno
walk: -ṛabana
walk: -rarabu-
walk: ɟuruwe-
wallaby: ŋargo
warm: (ŋu)wɔṛɔŋgɔr
warm: waḷir
wash: -ŋarmiɟin
wash: ŋorʔ-
wash: -wuwulub
water: -biɲi-
water: guwɛ
water: guwɛ́
water: guyɔrɔm
water: ŋacal
water: weʔ
weep: -ṛun
weep: ɹ̣u-
we (excl.): -yere
we (excl.): yirgagabbul
we (excl.): yirkaʔ
we (incl.): -ŋgore
we (incl.): ŋurgagabbul
we (incl.): ŋurkaʔ
we: ŋurkaṇiʔ-yiʔ
wet: ɟeliʔ
we two (excl.): -yere
we two (excl.): yirgabira
we two (excl.): yirkaʔ-biraʔ
we two (excl.): yirkaṇiʔ-biraʔ-yiʔ
we two (incl.): ŋurgabira
we two (incl.): yikaʔ
we two (incl.): yikaṇiʔ-yiʔ
we two (incl.): -yiki
what: yana?
what: yanaʔ
when: yana\mala?
when: yanaʔmala
where: wereka
where: weriga?
white: bɛugyi
white: bewkiʔ
white: bim
who: nuwere?
who: -were
wide: bambiḷiwar
wide: bilpo
wide: guḷagaḷ
wife: gopo
wife: ɟubɔlɔbɔlɔ
wind: biɟuḍu
wind: ŋondo
wind: ŋɔndɔ
wing: guwanɟad
wing: wel
woman: ɟänawa
woman: boloʔbolo
woman: bɔlɔbɔlɔ
woman: weleŋe
wood: ɟandaʔ
wood: ḍaṛʔ
wood: gulad
wood: gunwɛː
wood: ŋatum
woomera: boṇḍok
woomera: wa(?)rurgu
yellow: goloŋorʔ
yesterday: ɟaɟabaɹ̣ŋʔ
yes: yoː
you two: ṇurka-bira
you two: ṇurkaṇiʔ-biraʔ-yiʔ
