sea: ibilga miɟuːʎi
sea: ŋalaŋbalaŋgu
seed: ɲinɟa
see: ŋaɟa
see: ŋaɟa
see: ŋiɟ-
short: mumuṛ-ungyu
shoulder: nabigili
shoulder: ŋabaṇḍa
sing: ŋaɲa
sister: bibiṇi
sister: biḍiḍini
sit: mangi-a-
skin: guṛɲu
skin: guṛɲum-a-
sky: ḍimbu
sleep: maɲan
sleep: maɲan
small: guḷuguḷ-
smoke: (w)ugalu
snake: miginɟi
son: biba
son: gula
sour: ɟabaṛa
spit: kuɟkuʎu
split: dil-ŋaŋga
squeeze: uʎuwuʎumil-a-
stand: (w)aɟanga
star: gamaṛinɟi
star: ɟiṇgiɟi
stone: giɟuḷuḷu
straight: durunmili
sun: (w)uliːɟiṇi
sweet: waŋgura
swell: luŋ-baṛa-
swim: gaʎuṛum-a-
tail: ɲiɟinmi
tail: ŋiɟinmi
take: ḍabil-a-
take: ɲiṛagba
take: ŋaba-
that: ɟama
that: ɟama
that: ɟiː
that: ɟiː
that: ɲinda
that: ɲinda
they two: -(w)uɲ-
they: -(w)ur-
thick: ŋamuḷu
thigh: ɟaṛumulu
thigh: guḷumbu
thin: liṛgiɟ-
this: ɟama
this: ɟiː
this: ɲinda
thou: ɲama
thou: ɲama
thou: ɲamiŋa
thou: ɲamiṇi
thou: ɲamiṇi
thou: -guɹ̣-
thou: guɹ̣ag-
thou: guɹ̣-agu
thou: guɹ̣iːliṇi
thou: guɹ̣uala
thou: guɹ̣ualaŋa
thou: guɹ̣ualaṇi
thou: na- ~ ɲa-
thou: na- ~ ɲa-
thou: nama
thou: namiṇi
thou: ŋaŋg-
thou: ŋaŋku
three: murguʎi
three: murguḷi
throat: liliŋbi
throat: maḷi
throat: ŋuɟbi
throw: (w)aḍɟu-a-
thunder: ɟuɟumi
tie: idiɟ-a-
today: ɟaʎaŋgu
tomorrow: ŋuṛaṛuŋga
tongue: ɟalaɲa
tooth: ŋaɟalaguṛu
tooth: ŋabinɟu
tree: ḍaːṛaŋgu
turn: aŋgiɟ-baga
turn: -big-i-
two: gugyaɹ̣abilaṇi
two: gugyaɹ̣abulu
vagina: ginaṛa
vomit: gagaṛa
vomit: gigiṛ-i-
walk: aɲma
walk: ɟaṛgaɟa
walk: iɲm-i-
wallaby: ɟuṇma
wallaby: waṇgaṛiŋga
warm: aḍaḷagbi-aga
wash: gibaḍga
wash: ulu-gaɟa
water: gaʎuṛuŋa
water: ibilga
weep: gunaŋaru
weep: ŋug-a-
we (excl.): -ŋiɹ̣-
we (excl.): ŋiɹ̣ag-
we (excl.): ŋiɹ̣-agu
we (excl.): ŋiɹ̣iwala
we (excl.): ŋiɹ̣iwalaŋa
we (excl.): ŋiɹ̣iwalaṇi
we (excl.): ŋiɹ̣iwiliṇi
we (incl.): -ŋuɹ̣-
we (incl.): ŋuɹ̣ag-
we (incl.): ŋuɹ̣-agu
we (incl.): ŋuɹ̣aːla
we (incl.): ŋuɹ̣aːlaṇi
we (incl.): ŋuɹ̣iːliṇi
we (incl.): ŋuɹ̣iwalaŋa
wet: ibu
wet: igi-a-
we two (excl.): -ŋiɲ-
we two (excl.): ŋiɲag-
we two (excl.): ŋiɲ-agu
we two (excl.): ŋiɲiːla
we two (excl.): ŋiɲiːliŋa
we two (excl.): ŋiɲiːliṇi
we two (excl.): ŋiɲiwulu
we two (incl.): -mind-
we two (incl.): mindag-
we two (incl.): mind-agu
we two (incl.): mindiːla
we two (incl.): mindiːliŋa
we two (incl.): mindiːliṇi
we two (incl.): mindiwulu
what: ɲamba
when: (w)aɟinbaɟa
where: (w)aɟua
white: iṛgbuṛgbu
who: (w)aɟa
wide: (w)araŋan-bulu
wife: gabiṇi
wife: gaḷingyuliṇi
wife: gaṛuŋguḍi
wife: ŋambiːṇi
wind: (w)unba
wipe: baul-a-
woman: maliːṇi
woman: ṇayuṇi
wood: ḍaːṛaŋgu
wood: ḍaːṛaŋgu
woomera: maḍuɟu
woomera: ŋaḷiga
woomera: waḷmai
worm: gaṛiː gaṛa
yellow: danguṛa
yesterday: yidaɟu
you two: -guɲ-
you two: guɲag-
you two: guɲ-agu
you two: guɲiːla
you two: guɲiːliŋa
you two: guɲiːliṇi
you two: guɲiwulu
