skin: na-b!ual
skin: na-b!uar
skin: ne-buwár
skin: ne-kol
skin: nɛkɔl
skin: ne-\ulit
sleep: taa
sleep: taa
sleep: tia
sleep: tiyɑ
sleep: tiya
sleep: tiya
sleep: tiya
sleep: tiyá
small: kakíri
small: keneing
small: kik
small: kiki
small: kiki
small: kiki
small: kiki
small: kurdúk
small: ol
small: ol
smell: minisa
smoke: ard-bona
smoke: banáka
smoke: banángka
smoke: banáu
smoke: banaxɑ
smoke: banáxa
smoke: bona
snake: duming
snake: duming
snake: duming
snake: duming
snake: duming
snake: dumɪŋ
snake: mong
snake: moong
stand: ma-té
stand: ma-tée
stand: tahi
stand: tahi
stand: tahi
stand: tahi
stand: tasiː
stand: tasii
star: hid
star: hird
star: id
star: iḍ
star: ird
star: ird
star: ird
stone: var
stone: var
stone: wal
stone: war
stone: war
stone: war
stone: war
stone: wyal
sun: ved
sun: ved
sun: vid
sun: viit
sun: wed
sun: wed
sun: wɛd-
sun: wedë
swim: ururi
tail: ora
take: medi
take: pina
take: pina
take: ta\avi
there: angu se
they: \anaung
they: gi
they: \-i-
they: \ing
they: ini
they: i(y)
they two: -ole
thou: aing
thou: ana
thou: Ø
thou: Ø
thou: Ø
thou: Ø
thou: Ø
thou: Ø
thou: øV-
three: atóga
three: atóga
three: tua
three: tuge
three: tugɛ
three: tuwe
three: tuwe
three: tuwé
throw: oda
tie: parta
today: vede-\anga
tomorrow: tobang
tongue: na-chabur
tongue: na-dzhabur
tongue: na-jabur
tongue: na-lebur
tongue: ne-dzhebur
tongue: ne-zebur
tongue: nɛǯɛbur
tooth: na-fehang
tooth: na-vehing
tooth: na-wehang
tooth: na-wehing
tooth: ne-wehing
tooth: ne-wessing
tooth: nɛwɛssiŋ
tree: te
tree: te
tree: te
tree: te
tree: te
tree: te
tree: te\
tree: tɛ
turn: oboi
two: akur
two: ʔakur
two: alow
two: alow
two: aru
two: aru
two: arú
two: haru
vagina: ar
vagina: pulula
walk: ge
walk: ge
walk: ila
walk: ila
walk: ira
walk: irá
walk: jhema
walk: jhema
walk: lama
walk: lamal
walk: va
warm: bara
warm: b!ara
warm: (b!il)bára
warm: palóha
warm: tuhung
