thou: ètuts
thou: ɛtuts
thou: ɛtuxotsi
thou: iwa
thou: iwa
thou: me:mifuomra
thou: meːmifuomra
thou: puwi
thou: puwi
thou: yoi
thou: yui(y)
three: orvomu
thunder: matsugut
tie: rakit
today: deisef
tomorrow: monog
tongue: m-arni
tooth: bufon
tooth: bu-fon (afon)
tooth: bufon(afon)
tooth: fon
tooth: fon
tooth: mefon
tooth: me-fon
tooth: mufon
tooth: mufon
tooth: mu-fon
tooth: mu-fon
tooth: mu-fon
tooth: mu-von
tree: akow
tree: akow
tree: apow
tree: apow
tree: m-èga
tree: mɛga
tree: merga
tree: merga
tree: m-erga
tree: m-erga
tree: òkàwu(n)
tree: ɔkɑwu(n)
two: afik
two: afik
two: argak
two: argak
two: ègeka
two: ɛgeka
two: èrfik
two: ɛrfik
two: ergek
two: èrgèk
two: ɛrgɛk
two: errek
walk: -jha
walk: mechra
walk: minjha
warm: mob
warm: ofoifem
warm: ofoufem
wash: songmei
water: m-ay
water: mei
water: mei
water: m-e(i)
water: mey
water: mey
water: mey
water: m-ey
water: m-ey
water: m-i:
water: miː
water: miy
water: m-iy
we: efmin
weep: m-ibisa
weep: r-ibis
we (incl.): mi-
we: mafman
we: me-
we: mef-rombrège
we: mefrombrɛge
we: memef
we: memef
we: mèmef
we: me:mif
we: meːmif
we: mif
we: mif
we: mimif
we: mimif
we: mimif
we: nafan
wet: efeyei
wet: eyechyech
we two (incl.): maef
we two: naef
what: (me-)ido
where: erik-nefa
where: g(w)aidu
where: kua-ida
white: ebsi
who: ido
wife: eashin
wind: m-ofe
wing: efambra
wing: ergektein
woman: ahigers
woman: ru-jha
wood: merga
yellow: orug
yellow: oruk
yesterday: nek(a)
you: atkas(o)-rombrège
you: ètuxotsi
you: i-
you: iva
you: i-wa
you two: iga
you: yegen
you: yein
you: yoi
you: yui(y)
