identifier	encoding	kind	kept	dropped
rosettaproject_bmu_swadesh-1	utf-8	transcription	335	255
rosettaproject_bmx_swadesh-1	utf-8	transcription	355	133
rosettaproject_bnv_swadesh-1	utf-8	transcription	105	35
rosettaproject_bod_swadesh-1	utf-8	transcription	139	0
rosettaproject_boj_swadesh-1	utf-8	transcription	357	92
rosettaproject_bon_swadesh-1	utf-8	transcription	1263	1476
rosettaproject_bop_swadesh-1	utf-8	transcription	2	0
rosettaproject_boq_swadesh-1	utf-8	transcription	308	70
rosettaproject_bot_swadesh-1	utf-8	transcription	62	1
rosettaproject_bpi_swadesh-1	utf-8	transcription	366	105
rosettaproject_bpm_swadesh-1	utf-8	transcription	315	129
rosettaproject_bpp_swadesh-1	utf-8	transcription	462	254
rosettaproject_bps_swadesh-1	utf-8	transcription	183	3
rosettaproject_bpu_swadesh-1	utf-8	transcription	365	119
rosettaproject_bpv_swadesh-1	utf-8	transcription	142	15
rosettaproject_bpw_swadesh-1	utf-8	transcription	337	99
rosettaproject_bql_swadesh-1	utf-8	transcription	324	127
rosettaproject_bqq_swadesh-1	utf-8	transcription	266	153
rosettaproject_bqs_swadesh-1	utf-8	transcription	120	7
rosettaproject_brh_swadesh-1	utf-8	transcription	33	0
rosettaproject_brp_swadesh-1	utf-8	transcription	53	39
rosettaproject_brq_swadesh-1	utf-8	transcription	20	4
rosettaproject_brv_swadesh-1	utf-8	transcription	90	1
rosettaproject_bsk_swadesh-1	utf-8	transcription	1791	372
rosettaproject_bsp_swadesh-1	utf-8	transcription	28	1
rosettaproject_bst_swadesh-1	utf-8	transcription	97	0
rosettaproject_bsw_swadesh-1	utf-8	transcription	84	0
rosettaproject_bug_swadesh-1	utf-8	transcription	185	3
rosettaproject_bul_swadesh-1	utf-8	transcription	409	0
rosettaproject_bun_swadesh-1	utf-8	transcription	423	9
rosettaproject_buo_swadesh-1	utf-8	transcription	399	111
rosettaproject_buq_swadesh-1	utf-8	transcription	343	110
rosettaproject_but_swadesh-1	utf-8	transcription	157	5
rosettaproject_buy_swadesh-1	utf-8	transcription	134	1
rosettaproject_bvn_swadesh-1	utf-8	transcription	312	37
rosettaproject_bvr_swadesh-1	utf-8	transcription	395	14
rosettaproject_bvz_swadesh-1	utf-8	transcription	460	195
rosettaproject_bwk_swadesh-1	utf-8	transcription	71	64
rosettaproject_bwo_swadesh-1	utf-8	transcription	100	0
rosettaproject_bxe_swadesh-1	utf-8	transcription	414	18
rosettaproject_bxi_swadesh-1	utf-8	transcription	32	0
rosettaproject_bxz_swadesh-1	utf-8	transcription	164	93
rosettaproject_bye_swadesh-1	utf-8	transcription	73	22
rosettaproject_bym_swadesh-1	utf-8	transcription	265	206
rosettaproject_byn_swadesh-1	utf-8	transcription	96	0
rosettaproject_byr_swadesh-1	utf-8	transcription	101	0
rosettaproject_byt_swadesh-1	utf-8	transcription	212	3
rosettaproject_byx_swadesh-1	utf-8	transcription	364	49
rosettaproject_byz_swadesh-1	utf-8	transcription	201	10
rosettaproject_bzf_swadesh-1	utf-8	transcription	575	200
rosettaproject_bzh_swadesh-1	utf-8	transcription	181	2
rosettaproject_bzp_swadesh-1	utf-8	transcription	628	213
rosettaproject_bzr_swadesh-1	utf-8	transcription	291	134
rosettaproject_bzu_swadesh-1	utf-8	transcription	316	106
rosettaproject_caa_swadesh-1	utf-8	transcription	144	0
rosettaproject_cac_swadesh-1	utf-8	transcription	142	2
rosettaproject_cae_swadesh-1	utf-8	transcription	135	0
rosettaproject_cak_swadesh-1	utf-8	transcription	143	1
rosettaproject_can_swadesh-1	utf-8	transcription	227	20
rosettaproject_car_swadesh-1	utf-8	transcription	224	0
rosettaproject_cat_swadesh-1	utf-8	transcription	150	0
rosettaproject_ccp_swadesh-1	utf-8	transcription	100	0
