# light_ipa lists: records carrying ambiguous Latin letters (c y j x q)
# whose IPA value is source-specific -> resolve per source next.
identifier	n_records	n_with_ambiguous	ambiguous_letters
rosettaproject_tzx_swadesh-1	55	17	y:16 j:1 c:1
rosettaproject_ubu_swadesh-1	183	36	y:19 j:9 c:9
rosettaproject_ukg_swadesh-1	339	23	y:23
rosettaproject_umg_swadesh-1	16	1	y:1
rosettaproject_urf_swadesh-1	66	5	y:5
rosettaproject_urg_swadesh-1	383	28	y:28
rosettaproject_ury_swadesh-1	838	66	y:54 j:7 q:3 c:2
rosettaproject_van_swadesh-1	144	10	y:9 c:1
rosettaproject_wbe_swadesh-1	300	43	y:42 x:1
rosettaproject_wfg_swadesh-1	310	48	j:31 y:16 c:1
rosettaproject_wgi_swadesh-1	342	57	y:23 c:22 j:16
rosettaproject_wli_swadesh-1	82	5	j:3 y:2
rosettaproject_wlo_swadesh-1	183	0	
rosettaproject_wlw_swadesh-1	127	6	y:6
rosettaproject_wno_swadesh-1	107	13	y:13
rosettaproject_wod_swadesh-1	116	6	y:6
rosettaproject_wog_swadesh-1	98	29	y:26 x:4
rosettaproject_woi_swadesh-1	614	88	y:77 x:9 q:2
rosettaproject_wra_swadesh-1	201	7	y:6 x:1
rosettaproject_wrh_swadesh-1	63	11	y:11
rosettaproject_wrs_swadesh-1	862	139	y:71 c:35 x:28 q:6 j:1
rosettaproject_wrz_swadesh-1	220	38	y:19 j:17 q:1 c:1
rosettaproject_wsk_swadesh-1	372	11	y:11
rosettaproject_wtf_swadesh-1	326	21	y:21
rosettaproject_wux_swadesh-1	149	39	y:39
rosettaproject_wyy_swadesh-1	182	9	y:9
rosettaproject_xeu_swadesh-1	256	0	
rosettaproject_xrw_swadesh-1	70	22	y:22
rosettaproject_yis_swadesh-1	72	17	y:17
rosettaproject_yle_swadesh-1	1131	219	y:200 j:10 c:9 q:1
rosettaproject_yll_swadesh-1	71	6	y:6
rosettaproject_yss_swadesh-1	108	12	y:12
rosettaproject_yva_swadesh-1	682	130	y:74 j:57
rosettaproject_yyu_swadesh-1	71	15	y:15
rosettaproject_zmc_swadesh-1	348	42	y:35 c:9
