identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_deu_swadesh-1	deu	laugh	lachen	laxen	
rosettaproject_deu_swadesh-1	deu	leaf	Blatt	blatt	
rosettaproject_deu_swadesh-1	deu	left	links	links	
rosettaproject_deu_swadesh-1	deu	leg	Bein	bain	
rosettaproject_deu_swadesh-1	deu	lie	liegen	lieɡen	
rosettaproject_deu_swadesh-1	deu	live	leben	leben	
rosettaproject_deu_swadesh-1	deu	liver	Leber	leber	
rosettaproject_deu_swadesh-1	deu	long	lang	laŋ	
rosettaproject_deu_swadesh-1	deu	louse	Laus	laus	
rosettaproject_deu_swadesh-1	deu	man	Mann	mann	
rosettaproject_deu_swadesh-1	deu	many	viele	fiele	
rosettaproject_deu_swadesh-1	deu	meat	Fleisch	flaiʃ	
rosettaproject_deu_swadesh-1	deu	moon	Mond	mond	
rosettaproject_deu_swadesh-1	deu	mother	Mutter	mutter	
rosettaproject_deu_swadesh-1	deu	mountain	Berg	berɡ	
rosettaproject_deu_swadesh-1	deu	mouth	Mund	mund	
rosettaproject_deu_swadesh-1	deu	name	Name	name	
rosettaproject_deu_swadesh-1	deu	nape	Nacken	naken	
rosettaproject_deu_swadesh-1	deu	narrow	schmal	ʃmal	
rosettaproject_deu_swadesh-1	deu	near	nah	nah	
rosettaproject_deu_swadesh-1	deu	neck	Hals	hals	
rosettaproject_deu_swadesh-1	deu	new	neu	nɔy	
rosettaproject_deu_swadesh-1	deu	night	Nacht	naxt	
rosettaproject_deu_swadesh-1	deu	nose	Nase	naze	
rosettaproject_deu_swadesh-1	deu	not	nicht	niçt	
rosettaproject_deu_swadesh-1	deu	old	alt	alt	
rosettaproject_deu_swadesh-1	deu	one	eins	ains	
rosettaproject_deu_swadesh-1	deu	other	andere	andere	
rosettaproject_deu_swadesh-1	deu	person	Mensch	menʃ	
rosettaproject_deu_swadesh-1	deu	play	spielen	ʃpielen	
rosettaproject_deu_swadesh-1	deu	pull	ziehen	ʦiehen	
rosettaproject_deu_swadesh-1	deu	push	schieben	ʃieben	
rosettaproject_deu_swadesh-1	deu	rain	Regen	reɡen	
rosettaproject_deu_swadesh-1	deu	red	rot	rot	
rosettaproject_deu_swadesh-1	deu	right	rechts	reçts	
rosettaproject_deu_swadesh-1	deu	river	Flus	flus	
rosettaproject_deu_swadesh-1	deu	road	Weg	veɡ	
rosettaproject_deu_swadesh-1	deu	root	Wurzel	vurʦel	
rosettaproject_deu_swadesh-1	deu	rope	Seil	zail	
rosettaproject_deu_swadesh-1	deu	rotten	verrottet	ferrottet	
rosettaproject_deu_swadesh-1	deu	round	rund	rund	
rosettaproject_deu_swadesh-1	deu	rub	reiben	raiben	
rosettaproject_deu_swadesh-1	deu	salt	Salz	zalʦ	
rosettaproject_deu_swadesh-1	deu	sand	Sand	zand	
rosettaproject_deu_swadesh-1	deu	say	sagen	zaɡen	
rosettaproject_deu_swadesh-1	deu	scratch	kratzen	kratʦen	
rosettaproject_deu_swadesh-1	deu	sea	See	zee	
rosettaproject_deu_swadesh-1	deu	see	sehen	zehen	
rosettaproject_deu_swadesh-1	deu	seed	Samen	zamen	
rosettaproject_deu_swadesh-1	deu	sew	nähen	nɛhen	
rosettaproject_deu_swadesh-1	deu	sharp	scharf	ʃarf	
rosettaproject_deu_swadesh-1	deu	short	kurz	kurʦ	
rosettaproject_deu_swadesh-1	deu	sing	singen	ziŋen	
rosettaproject_deu_swadesh-1	deu	sit	sitzen	zitʦen	
rosettaproject_deu_swadesh-1	deu	skin	Haut	haut	
rosettaproject_deu_swadesh-1	deu	sky	Himmel	himmel	
rosettaproject_deu_swadesh-1	deu	sleep	schlafen	ʃlafen	
rosettaproject_deu_swadesh-1	deu	small	klein	klain	
rosettaproject_deu_swadesh-1	deu	smell	riechen	rieçen	
rosettaproject_deu_swadesh-1	deu	smoke	Rauch	raux	
rosettaproject_deu_swadesh-1	deu	smooth	glatt	ɡlatt	
rosettaproject_deu_swadesh-1	deu	snake	Schlange	ʃlaŋe	
rosettaproject_deu_swadesh-1	deu	snow	Schnee	ʃnee	
rosettaproject_deu_swadesh-1	deu	some	ein paar	ain paar	
rosettaproject_deu_swadesh-1	deu	spit	spucken	ʃpuken	
rosettaproject_deu_swadesh-1	deu	split	spalten	ʃpalten	
rosettaproject_deu_swadesh-1	deu	squeeze	quetschen	kfeʧen	
rosettaproject_deu_swadesh-1	deu	stab	stechen	ʃteçen	
rosettaproject_deu_swadesh-1	deu	stand	stehen	ʃtehen	
rosettaproject_deu_swadesh-1	deu	star	Stern	ʃtern	
rosettaproject_deu_swadesh-1	deu	stick	Stock	ʃtok	
rosettaproject_deu_swadesh-1	deu	stone	Stein	ʃtain	
rosettaproject_deu_swadesh-1	deu	straight	gerade	ɡerade	
rosettaproject_deu_swadesh-1	deu	suck	saugen	zauɡen	
rosettaproject_deu_swadesh-1	deu	sun	Sonne	zonne	
rosettaproject_deu_swadesh-1	deu	swell	schwellen	ʃvellen	
rosettaproject_deu_swadesh-1	deu	swim	schwimmen	ʃvimmen	
rosettaproject_deu_swadesh-1	deu	tail	Schwanz	ʃvanʦ	
rosettaproject_deu_swadesh-1	deu	that	jener	jener	
rosettaproject_deu_swadesh-1	deu	there	da	da	
rosettaproject_deu_swadesh-1	deu	they	sie	zie	
rosettaproject_deu_swadesh-1	deu	thick	dick	dik	
rosettaproject_deu_swadesh-1	deu	thin	dünn	dynn	
rosettaproject_deu_swadesh-1	deu	think	denken	denken	
rosettaproject_deu_swadesh-1	deu	this	dieser	diezer	
rosettaproject_deu_swadesh-1	deu	thou	du	du	
rosettaproject_deu_swadesh-1	deu	three	drei	drai	
rosettaproject_deu_swadesh-1	deu	throw	werfen	verfen	
rosettaproject_deu_swadesh-1	deu	tie	binden	binden	
rosettaproject_deu_swadesh-1	deu	tongue	Zunge	ʦuŋe	
rosettaproject_deu_swadesh-1	deu	tooth	Zahn	ʦahn	
rosettaproject_deu_swadesh-1	deu	tree	Baum	baum	
rosettaproject_deu_swadesh-1	deu	turn	drehen	drehen	
